id,name,language,commits,stars,forks,last_change_at,bucket,external,author1,author2,actual,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy,ch.uzh.ciclassifier.features.repository.CommitsUntilConfigAdded,ch.uzh.ciclassifier.features.repository.ConfigChangeFrequency,ch.uzh.ciclassifier.features.repository.DaysUntilConfigAdded,ch.uzh.ciclassifier.features.repository.NumberOfConfigurationFileChanges,ch.uzh.ciclassifier.features.repository.NumberOfContributorsOnConfigurationFile,ch.uzh.ciclassifier.features.travisci.BuildSuccessRatio,ch.uzh.ciclassifier.features.travisci.BuildTimeAverage,ch.uzh.ciclassifier.features.travisci.ManualInteractionRatio,ch.uzh.ciclassifier.features.travisci.PullRequestRatio,ch.uzh.ciclassifier.features.travisci.TimeToFixAverage
df4ae163-9eb3-496b-937f-7f6b58184fe4,abotalov/waiting_rspec_matchers,Ruby,21,9,2,05.07.19 19:12,small,1,0,0,0,0,0,20,9,0,1,12,5,2,0,0,0,0,0.428571429,0,9,3,0.5,507.3333333,0,0,963
a4b822ad-0c5f-4860-b491-60a2fb09c171,Algomorph/LevelSetFusion-Python,Python,330,9,2,11.11.20 14:47,small,1,1,,1,0,9,64,1,0,1,10,18,28,0,0,0,91,0.090909091,52,30,1,0.452830189,451.509434,0,0.239316239,194537.0714
aeab7638-e3d3-4be3-8ad7-bcbaab932f03,alphagov/puppet-rcs,Ruby,158,0,1,30.07.20 13:10,small,0,0,,0,1,1,15,2,0,1,13,6,2,0,0,0,140,0.018987342,731,3,2,0.944954128,116.0344828,0,0.023474178,1188036.25
18d0bf3d-9d4d-4891-9a96-58e5465ba479,apache/groovy,Java,18151,4003,1530,23.01.21 10:08,big,1,1,,1,1,20,66,8,0,1,12,8,6,0,1,0,9472,0.003852292,3508,70,9,0.74020924,6770.983166,0,0.39398374,30466.26486
f5c55efd-5815-4b30-9e98-1232d0c12528,apioo/psx-sample,PHP,132,2,1,17.02.19 10:28,small,1,0,1,1,1,0,12,3,0,1,12,16,2,0,0,0,41,0.098484848,567,13,1,0.989981785,139.9811853,0,0,36533.66667
a44b6e0a-21e0-4ee8-853e-996c174b62b0,AshleyDawson/SimplePagination,PHP,67,13,4,18.12.19 21:01,small,0,0,,0,0,0,14,5,0,1,2,13,3,0,0,0,6,0.179104478,0,12,2,0.5,246.7142857,0,0,810.3333333
e5796c74-6b24-45f2-a2dd-e67b3d95201f,Automattic/juice,JavaScript,578,2470,200,11.01.21 20:14,popular,0,0,,0,0,0,7,4,0,1,2,4,0,0,0,0,113,0.020689655,490,12,4,0.692307692,135.1181818,0,0.534161491,3030113
1d71bc40-edf4-4938-ae06-cd774c861ab5,Azure/azure-sdk-for-node,JavaScript,7115,1138,602,04.11.20 09:12,popular,0,0,,0,0,0,6,2,0,1,12,4,0,0,0,0,1491,0.007589599,479,54,9,0.772867794,933.7787428,0,0.904238111,91013.02809
8df10d24-9446-4808-91bb-da2d80d9e8d1,AzureAD/azure-activedirectory-library-for-android,Java,2647,162,103,02.11.20 23:46,popular,1,1,,1,4,6,54,1,0,1,12,10,10,0,1,0,214,0.017371601,115,46,13,0.675178473,1040.956092,0,0.775875486,222540.7197
661dc7e0-e058-4c08-9093-5aab1ce746f8,bebraw/highlight-loader,JavaScript,62,26,9,04.12.20 21:14,small,0,0,,0,0,0,5,2,0,1,2,3,0,0,0,0,0,0.048387097,0,3,2,0.642857143,108.5,0,0.363636364,2528.333333
