project,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy
BhallaLab_moose-examples,0,0,26,1,1,1,12,6,8,0,0,0
spring-guides_gs-accessing-data-mongodb,0,0,12,1,1,1,12,6,1,0,0,0
libbitcoin_libbitcoin-server,1,15,111,6,0,1,43,7,20,0,0,0
cisco_openh264,2,0,43,5,0,1,2,7,15,0,0,0
wilr_silverstripe-googlesitemaps,5,1,33,2,0,1,2,19,10,0,0,0
playframework_play1,0,0,28,1,2,1,11,10,2,0,0,0
cncf_devstats,1,6,46,1,3,1,2,6,19,0,0,0
collinmutembei_III,0,0,25,1,0,1,11,11,5,1,0,0
TakWolf_Android-AspectRatioLayout,0,0,21,1,0,1,2,5,3,0,1,0
microsoft_pxt,2,0,30,1,1,1,10,12,5,0,1,0
cburgmer_xmlserializer,0,0,4,1,0,1,2,3,0,0,0,0
ai_autoprefixer-rails,1,0,15,4,0,1,3,7,2,0,1,0
spryker_product-image,3,0,38,3,0,1,3,21,6,0,1,0
mahmoud-birdsol_laravel-api-responses,0,0,17,4,0,1,2,15,2,0,1,0
symfony-cmf_block-bundle,8,13,67,4,1,1,14,23,10,0,1,0
phax_as2-lib,2,1,56,3,0,1,11,9,3,1,1,0
firegento_firegento-pdf,1,0,23,5,0,1,13,18,1,0,0,0
moimikey_stripquotes,0,0,6,3,0,1,2,4,0,0,0,0
sergeyklay_php-orm-benchmark,4,2,97,42,1,1,3,56,28,0,1,0
hellige_ccs-cpp,5,0,84,8,0,1,3,3,8,0,0,0
apache_druid,14,58,637,77,1,3,1,9,42,0,1,0
ccnmtl_mediathread,1,2,28,4,0,1,1,10,2,0,1,0
ArpNetworking_metrics-jvm-extra,2,0,18,1,0,1,13,6,4,0,1,0
Cadasta_cadasta-platform,4,0,75,3,1,1,12,13,25,0,0,0
rapid7_nexpose-client,2,0,24,4,0,1,113,8,1,1,1,0
thinkshout_feeding-texas,1,0,23,1,0,1,12,7,6,1,0,0
concrete5_concrete5,0,2,85,8,0,1,12,16,8,0,1,0
galaxyproject_bioblend,3,11,120,16,0,3,2,15,28,0,0,0
wantedly_dockerfile-terraform,0,0,11,1,1,1,13,6,2,0,0,0
react-boilerplate_react-boilerplate,0,0,26,2,1,1,2,6,6,0,1,0
apigee-internal_microgateway,0,3,42,6,1,4,83,4,2,0,0,0
inspirehep_inspire-next,7,27,100,4,0,1,33,13,9,0,0,1
UB-Mannheim_PalMA,0,12,26,1,0,1,13,4,6,0,0,0
unepwcmc_ORS-API,0,1,14,1,1,1,102,8,3,0,0,0
alibaba_transmittable-thread-local,0,22,64,1,0,1,1,10,10,1,1,0
lightswitch05_table-to-json,0,0,5,3,0,1,2,4,0,0,0,0
chef-cookbooks_chef-client,2,0,94,66,0,1,104,9,5,1,0,0
pyromoney_pyromoney-api,0,0,17,1,0,1,2,0,5,0,0,0
cosmicradiotv_livehub,0,0,13,2,0,1,2,15,4,0,0,0
fenix-framework_fenix-framework,0,0,6,2,0,1,2,1,0,0,0,0
alphagov_digitalmarketplace-buyer-frontend,0,0,17,4,0,1,2,10,3,0,0,0
fenos_Notifynder,2,16,82,19,1,1,113,31,8,0,1,0
wavefrontHQ_wavefront-sdk-python,0,0,41,4,0,1,3,11,12,0,0,1
HofSpannungMotorsport_CarSoftware,0,46,68,1,0,1,12,4,3,0,1,0
puppetlabs_puppetlabs-postgresql,4,0,125,9,1,3,0,13,16,1,1,1
neu-rah_ArduinoMenu,1,35,74,4,0,1,12,5,10,0,1,0
mehrmann_raytracing,0,0,17,2,0,1,3,2,4,0,0,0
controlshift_nation_builder,0,0,4,1,0,1,2,3,0,0,0,0
Starou_django-stachoutils,1,0,33,5,0,1,12,7,9,0,0,0
js-kyle_mincer,0,0,6,2,0,1,12,4,0,0,0,0
skandragon_gryphon_sitemap,0,0,15,5,1,1,3,5,2,0,0,0
microfocus-idol_java-idol-types,2,5,20,1,0,1,2,5,2,0,0,0
joshuaalpuerto_one-piece-skills,0,0,18,1,0,1,2,7,3,0,1,0
DAVKronos_Kronos-Website,0,0,16,1,1,1,2,8,5,0,1,0
talenfisher_x3p.js,0,0,37,3,1,1,25,8,10,0,0,1
lets-blade_blade,0,0,18,1,0,1,12,5,3,0,0,0
