name,score
pockethub_PocketHub,1
yui_yui3,1
ruby-grape_grape,1
sproutcore_sproutcore,1
rapid7_metasploit-framework,1
GeoNode_geonode,1
concrete5_concrete5,1
statsmodels_statsmodels,1
lml_quadbase,1
Theano_Theano,1
benedikt_mongoid-tree,1
Azure_azure-sdk-for-node,0
litl_rauth,1
fluent_fluentd,1
facebook_folly,1
cartalyst_sentry,1
Netflix_servo,1
roundcube_roundcubemail,1
browserify/browserify,1
jruby_jruby,1
symfony-cmf_cmf-sandbox,1
danvk_dygraphs,1
pods-framework_pods,1
twitter_twitter-cldr-rb,1
django-haystack_django-haystack,1
scikit-learn_scikit-learn,1
enigma-dev_enigma-dev,0
kriskowal_q,1
expressjs_express,1
sferik_twitter,1
intermine_intermine,1
heartcombo/responders,1
sleuthkit_autopsy,1
silverstripe_silverstripe-cms,1
moai_moai-dev,0
ModeShape_modeshape,1
puppetlabs_hiera,1
tinymce_tinymce,1
shutterstock_rickshaw,1
puppetlabs_puppetlabs-mysql,1
jfirebaugh_konacha,1
mavlink_qgroundcontrol,1
RubyMoney_money,1
facebook_facebook-android-sdk,1
mumble-voip_mumble,1
AcademySoftwareFoundation/OpenShadingLanguage,1
novus_nvd3,1
kakserpom_phpdaemon,1
sympy_sympy-bot,1
puppetlabs_puppetlabs-ntp,1
mercadolibre_chico,1
chef-cookbooks_chef-client,1
Codeception_Codeception,1
matomo-org/matomo,1
travis-ci_travis-cookbooks,1
svenfuchs_rails-i18n,1
heartcombo/devise,1
jruby_warbler,1
apache_hive,1
naparuba_shinken,1
thoughtbot_suspenders,1
serge-sans-paille_pythran,1
omeka_Omeka,1
ruby_ruby,1
Dolibarr_dolibarr,1
symphonycms/symphonycms,1
phalcon_cphalcon,1
gephi_gephi,1
concord-consortium_rigse,1
Eyescale_Equalizer,1
basho_riak-python-client,1
fatfreecrm_fat_free_crm,1
spree-contrib_spree_i18n,0
jenkinsci_warnings-plugin,1
shoes_shoes4,1
adhearsion_adhearsion,1
earwig_mwparserfromhell,1
wxWidgets_wxWidgets,0
thoughtbot_paperclip,1
mantisbt_mantisbt,0
jruby_activerecord-jdbc-adapter,1
KnpLabs_Gaufrette,1
NUBIC_surveyor,1
Netflix_Priam,1
mootools_mootools-core,0
convio_watirmark,1
OpenCPN_OpenCPN,1
celery_celery,1
Warzone2100_warzone2100,1
enthought_chaco,1
unepwcmc_SAPI,1
nostra13_Android-Universal-Image-Loader,1
jubatus_jubatus,1
travis-ci_travis-build,1
thoughtbot_clearance,1
openmrs_openmrs-core,1
PX4/PX4-Autopilot,1
puppetlabs_puppetlabs_spec_helper,1
rubygems_rubygems.org,1
ekylibre_ekylibre,1
pheanstalk/pheanstalk,1
ulfurinn_wongi-engine,1
thoughtbot/factory_bot_rails,1
thomasmoelhave_tpie,1
novius-os_core,0
puppetlabs_puppetlabs-firewall,1
remi/her,1
puppetlabs_puppetlabs-apache,1
expertiza_expertiza,1
rspec_rspec-core,1
learning-unlimited_ESP-Website,0
UnionOfRAD_lithium,1
Pylons_substanced,1
openstreetmap_openstreetmap-website,1
nipy_nipype,1
KnpLabs_KnpGaufretteBundle,1
HeliumProject/Engine,1
ReadyTalk_avian,1
travis-ci_travis-hub,1
travis-ci_travis-api,1
bbangert_retools,1
GMOD_jbrowse,1
rodjek_rspec-puppet,1
pezmaster31_bamtools,1
railsbridge_docs,1
projectcypress_cypress,1
splunk_splunk-sdk-python,1
DDMAL_libmei,0
miracle2k_django-assets,1
CakeDC_users,1
firegento_firegento-pdf,0
liip_LiipThemeBundle,1
yinian1992_flask-docs-cn,1
Jasig_WeatherPortlet,1
OpenNebula_one,1
miso-lims/miso-lims,1
arches_table_print,1
liip_LiipImagineBundle,1
arescentral_antares,1
pulp_pulp,1
liip_LiipFunctionalTestBundle,1
lmsgit_lms,0
redpony_cdec,1
mapbender_mapbender-starter,1
lanl/CLAMR,1
rapid7_nexpose-client,1
locationtech_udig-platform,0
molgenis_molgenis,1
mozilla_elmo,1
hasgeek_baseframe,1
js-kyle/mincer,1
azkaban_azkaban,1
celery_billiard,1
plone_plone.testing,0
saltstack_salt-contrib,1
animekita_selvbetjening,1
jenkinsci_github-plugin,1
sensu_sensu-chef,1
mozfr_transvision,1
zikula_core,1
DGtal-team_DGtal,1
collective_icalendar,1
DDMAL_diva.js,0
marek629_SIR,1
ruby-ldap_ruby-net-ldap,1
saucelabs_monocle,1
lian_bitcoin-ruby,1
opengm_opengm,1
Parsely_wp-parsely,0
montagejs_montage,1
Segfault-Inc/Multicorn,1
pda_flexihash,1
enthought_traitsui,1
gottfrois_link_thumbnailer,1
recurly_recurly-client-python,1
mozilla_mozillians-tests,1
Freeseer_freeseer,1
general03/flask-autoindex,1
akvo_akvo-flow-mobile,1
FriendsOfSymfony1/symfony1,1
jcryptool_crypto,1
codez_dry_crud,1
symfony-cmf_block-bundle,0
fluent_fluent-logger-python,1
collective_collective.nitf,0
code4lib_ruby-oai,0
tranchis_xsd2thrift,1
expectedbehavior_acts_as_archival,1
rapid7_metasploit_data_models,1
fenix-framework_fenix-framework,1
phoet_on_ruby,0
ncri_nested_form_fields,1
tyabe_kpt-it,0
JNRowe_versionah,1
zed-0xff_pedump,1
gatgui_gcore,0
headius_invokebinder,0
jeremyevans_ruby-american_date,0
mate-desktop_caja-dropbox,1
kachick_abb,0
nengo_nengo,1
luispedro_merge,0
puppetlabs_packaging,1
watir_watir-rails,1
ccnmtl_mediathread,1
Yubico_php-yubico,0
metamx_java-util,1
DAVKronos_Kronos-Website,0
hoaproject_Dispatcher,0
fougue_fougtools,0
mikera_tyrant,0
rawler_bithorde,1
szechyjs_mbelib,1
OpenBuildings_jam,1
ndarray_ndarray,1
pat_combustion,1
saveriomiroddi_spreadbase,0
rackspace_php-opencloud,1
remotestorage_remotestorage.js,1
square_dagger,1
samleb_sexy_scopes,1
TUM-I5_ASAGI,1
spotify_luigi,1
SixArm_sixarm_ruby_uspto,0
nushio3_cmaes,1
quantcast_qfs,1
DarthGandalf_test,0
eggcaker_jekyll-org,1
blangel_ply,1
airbnb_javascript,1
travis-ci_travis-web,1
tildeio_rsvp.js,1
hrydgard_ppsspp,1
Magomogo_barberry-interfaces,0
vle-forge_vle,1
lstrojny_phpunit-function-mocker,0
OSGeo_gdal,0
gjtorikian/html-pipeline,1
woboq_woboq_codebrowser,1
qcubed_qcubed,1
oivoodoo_devise_masquerade,1
PrestaShop_PrestaShop,1
aodn_aodn-portal,1
opf_openproject,0
ning_maven-dependency-versions-check-plugin,1
mcallegari_qlcplus,1
Spicery_ginger,1
Zeex_samp-plugin-profiler,1
eymengunay_php-passbook,1
l0rdn1kk0n_wicket-webjars,0
oscar-stack_vagrant-hosts,1
apache_jena,1
ultraq_redhorizon,1
Leaflet_Leaflet,1
devsim_symdiff,1
knex/knex,1
muddydixon_fluent-plugin-anomalydetect,0
gushphp/ToInlineStyleEmailBundle,0
ros-perception_image_transport_plugins,0
BuildCraft_BuildCraft,1
Nepherte/commons-cli,1
stevenjackson_pinch_hitter,0
dwenzel_t3events,1
lightswitch05_table-to-json,0
yeoman_generator,1
MichaelMure_Arbore,0
hellige_ccs-cpp,1
pyload_pyload,1
LEMS_jLEMS,1
rubysec_ruby-advisory-db,1
ezsystems_ezpublish-kernel,1
sammyfung_hk0weather,0
ktuukkan_marine-api,1
skandragon_gryphon_sitemap,0
krobertson_deb-s3,1
icewind1991_SMB,1
randombit_botan,1
edx_XBlock,1
otavanopisto_muikku,1
cocos2d_cocos2d-js,1
lbriais_easy_app_helper,1
MattKetmo_EmailChecker,1
ciudadanointeligente_write-it,1
ruby-grape_grape-entity,1
opencredit_badgeos,1
spotify_annoy,1
brycedrennan_eulerian-magnification,1
clarete_forbiddenfruit,0
ai_autoprefixer-rails,1
ingenesis_shopp,1
PowerDNS_pdns,1
Kashomon_glift,0
apache_cloudstack,1
glorpen_GlorpenPropelBundle,1
TUM-Dev/Campus-Android,1
emre_kaptan,1
leafty_node-yaml-config,0
OXID-eSales_oxideshop_ce,1
tobie_specref,0
egulias_EmailValidator,1
phax_as2-lib,0
puppetlabs_puppetlabs-postgresql,1
juliangruber_isarray,0
redcross_arcdata,1
publiclab_plots2,1
wojdyr_xylib,1
krishauser_KrisLibrary,1
netresearch_t3x-contexts_geolocation,1
jejacks0n/teaspoon,0
netresearch_t3x-contexts_wurfl,1
vektor-inc/biz-vektor,1
Teevity/ice,0
ff4j/ff4j,0
gini_dropwizard-gelf,1
