travis_id,ght_id,watchers,slug,lang,created_at,last_build_finished_at,order,project_found,log_found,travis_present,first_t_commit,last_t_commit,active,last_build_duration,yml_contribs,yml_commits,job_count,repo_id,build_id,last_build,commits,contribs,last_commit,build_count,first_build,yml_deleted,travis_abandoned,builds_period,travis_period,pushes,PRs,project_age,abandoned,commit_time_after_last_build,abandoned_and_alive
3931,4060339,11,dtex/neuron,JavaScript,12.06.13,07.12.15,69700,1,1,1,18.11.11,07.12.15,1,102,3,6,4,3931,95441973,07.12.15,64,8,07.12.15,29,18.11.11,0,0,1480,1480,26,3,1735,0,0,FALSE
5310,486163,8,DavertMik/Codeception,PHP,23.04.12,27.12.11,82628,1,1,1,26.12.11,05.02.12,0,34,1,31,2,5310,451984,27.12.11,267,10,17.04.12,11,26.12.11,0,1,1,41,11,0,2150,1,112,TRUE
5682,12552346,4,cliffano/feedpaper,JavaScript,10.11.10,17.04.17,110263,1,1,1,06.01.12,12.08.16,1,103,1,20,1,5682,222675819,17.04.17,416,1,03.04.17,163,06.01.12,0,0,1928,1680,163,0,2680,0,-14,FALSE
7018,237749,42,lstrojny/Procrastinator,PHP,05.02.12,04.03.17,36204,1,1,1,06.02.12,26.02.17,1,1339,2,19,20,7018,207777841,04.03.17,65,3,26.02.17,497,05.02.12,0,0,1854,1847,51,1,2228,0,-6,FALSE
7407,97474,1,noisebleed/SmartyBundle,PHP,25.11.11,26.11.14,180132,1,1,1,11.02.12,26.09.16,0,1558,5,25,15,7407,42147429,26.11.14,296,13,26.09.16,154,11.02.12,0,1,1019,1689,154,0,2300,1,670,TRUE
7859,70061,51,auraphp/Aura.View,PHP,16.04.11,02.02.17,32588,1,1,1,16.02.12,27.03.15,1,264,3,13,5,7859,197709886,02.02.17,403,8,02.02.17,265,18.02.12,0,0,1811,1135,236,29,2523,0,0,FALSE
11563,328328,3,LuaDist/libexpat,Shell,01.10.10,10.03.13,116381,1,1,1,03.04.12,18.02.13,1,326,2,5,5,11563,5375710,10.03.13,20,4,18.02.13,35,03.04.12,0,0,341,321,35,0,2720,0,-20,FALSE
11597,488295,2,LuaDist/lua-curl,C,30.03.11,10.03.13,145502,1,1,1,03.04.12,18.02.13,1,799,1,4,5,11597,5376216,10.03.13,102,4,18.02.13,6,03.04.12,0,0,341,321,6,0,2540,0,-20,FALSE
11665,461064,2,LuaDist/luazip,C,01.10.10,10.03.13,132651,1,1,1,03.04.12,18.02.13,1,346,1,4,5,11665,5376849,10.03.13,13,3,18.02.13,18,03.04.12,0,0,341,321,18,0,2720,0,-20,FALSE
11844,326808,164,ionelmc/django-redisboard,Python,01.11.11,20.01.17,15746,1,1,1,09.12.14,17.01.17,1,2133,1,14,28,11844,193576425,20.01.17,190,14,19.01.17,81,06.09.12,0,0,1597,770,62,19,2324,0,-1,FALSE
