"travis_id","ght_id","watchers","slug","lang","created_at","last_build_finished_at","order","project_found","log_found","travis_present","first_t_commit","last_t_commit","active","last_build_duration","yml_contribs","yml_commits","job_count","repo_id","build_id","last_build","commits","contribs","last_commit","build_count","first_build","yml_deleted","travis_abandoned","builds_period","travis_period","pushes","PRs","project_age","abandoned","commit_time_after_last_build","abandoned_and_alive","status"
"914","5190737","61","fs/rails-base","Ruby","2010-07-27","2013-07-12","29609","1","1","0","2011-12-19","2013-07-12","0","381","2","12","1","914","8998111","2013-07-12","1294","64","2017-03-03","209","2011-07-22","1","1","721","571","187","22","2786","1","1330","TRUE","no travis"
"2415","104126","11","jarib/ffi-xattr","Ruby","2011-09-23","2014-01-30","69573","1","1","0","2011-09-24","2014-01-30","0","45","1","6","1","2415","17901477","2014-01-30","55","4","2014-05-12","25","2011-09-24","1","1","859","859","22","3","2363","1","102","TRUE","no travis"
"2488","1299096","3","bkzl/lrug.pl","Ruby","2011-09-22","2013-07-13","125203","1","1","0","2011-09-28","2013-07-03","0","13","2","9","1","2488","9039803","2013-07-13","211","4","2014-11-09","124","2011-09-28","1","1","654","644","124","0","2364","1","484","TRUE","no travis"
"2998","27952","6","avsej/couchbase-ruby-client","C","2011-08-11","2012-11-21","93747","1","1","1","2011-12-20","2013-08-08","0","119","1","7","4","2998","3297505","2012-11-21","462","11","2013-09-04","302","2011-10-27","0","1","391","597","302","0","2406","1","287","TRUE","no travis"
"3020","39152","2","liufengyun/jobsworth","Ruby","2011-10-21","2012-09-06","145231","1","1","0","2011-08-03","2012-09-06","0","105","3","37","1","3020","2355068","2012-09-06","7354","37","2013-01-26","568","2011-10-25","1","1","317","400","568","0","2335","1","142","TRUE","no travis"
"3037","6057","744","sdepold/sequelize","JavaScript","2013-03-06","2012-10-29","4724","1","1","0","2011-10-25","2013-03-06","1","1139","2","66","4","3037","5286979","2013-03-06","1598","67","2013-03-06","642","2011-10-25","1","1","498","498","473","169","1833","0","0","FALSE","no travis"
"3057","32446","338","lbdremy/solr-node-client","JavaScript","2011-07-27","2016-12-05","9178","1","1","1","2012-05-07","2015-09-24","1","183","3","16","4","3057","181451363","2016-12-05","444","36","2016-12-06","248","2011-10-25","0","0","1868","1235","128","120","2421","0","1","FALSE","no travis"
"3885","334181","17","ro-ka/node-500px","JavaScript","2011-10-25","2014-09-02","56988","1","1","0","2012-05-11","2014-09-02","0","619","2","2","1","3885","34154884","2014-09-02","58","6","2015-01-21","19","2011-11-18","1","1","1019","844","19","0","2331","1","141","TRUE","no travis"
"4272","595649","2","trq/proem","PHP","2011-12-18","2011-12-06","145535","1","1","1","2011-12-07","2012-05-16","0","33","1","11","2","4272","378886","2011-12-06","568","3","2014-04-29","8","2011-11-28","0","1","8","161","8","0","2277","1","875","TRUE","no features"
"4375","449937","18","dabit/bootstrap-form","Ruby","2011-09-07","2016-03-23","55445","1","1","1","2011-11-30","2016-03-22","1","371","2","8","4","4375","117899170","2016-03-23","78","4","2016-03-22","23","2011-11-30","0","0","1575","1574","21","2","2379","0","-1","FALSE","no github"
